index,status_group
69572,functional
34310,functional
67743,non functional
9944,functional
49056,functional
50409,functional
50495,functional
61848,functional
48451,non functional
58155,non functional
18274,functional
48375,functional
58500,functional needs repair
37862,functional
51058,functional
22308,functional needs repair
55012,functional
19685,non functional
69124,functional
6696,functional
57238,functional needs repair
12402,functional
16583,functional
25,non functional
70238,functional
52019,functional
1843,functional needs repair
45111,functional needs repair
18864,functional
25182,functional
3228,functional
19308,non functional
68724,non functional
74197,functional
22961,non functional
29952,functional
40393,non functional
2127,functional needs repair
8265,non functional
67433,functional
34255,functional
4720,non functional
54801,non functional
53970,functional
63542,functional
15622,functional
12903,non functional
65531,functional needs repair
3675,functional
3688,functional
27312,non functional
43237,functional needs repair
62591,non functional
39920,non functional
70892,functional
26419,functional
68554,non functional
41743,non functional
17970,functional
25693,functional
39364,functional needs repair
57580,functional
23000,functional
74246,non functional
64063,non functional
59983,functional
21068,functional
62341,non functional
35458,non functional
42031,functional
59475,functional
24012,functional
64062,non functional
60852,functional
17687,functional
38876,non functional
66521,functional
64880,functional
32871,non functional
13815,functional
36591,non functional
71845,functional
42180,functional
55594,functional
48528,non functional
50970,functional
37840,functional
44258,non functional
10715,functional
67980,non functional
41635,functional
14884,functional
22190,non functional
47459,functional
62670,functional
60866,non functional
33320,functional
112,non functional
4807,functional
41845,functional
6065,functional
37187,non functional
26540,non functional
8060,functional
59630,functional
46897,functional
34636,non functional
52520,functional
75,non functional
3181,non functional
37008,functional needs repair
48752,functional needs repair
37562,functional
53212,functional needs repair
40729,non functional
48695,functional
35140,non functional
46814,functional
7721,functional
61046,functional
68347,non functional
14952,non functional
64334,non functional
4907,functional needs repair
46893,non functional
24377,non functional
51694,functional
1780,functional
39490,functional
21704,functional
35193,non functional
24948,functional
6076,functional
18451,non functional
4321,functional
15815,non functional
18832,non functional
62720,functional needs repair
65093,functional
43777,functional
52601,functional
65530,non functional
73024,functional
18842,functional needs repair
9474,functional
44434,functional
47236,non functional
8633,functional needs repair
46268,non functional
69669,non functional
67377,non functional
51185,non functional
24049,functional
70835,functional
74176,functional
10992,non functional
40808,non functional
5074,functional needs repair
35563,non functional
2993,non functional
63712,non functional
61979,functional
29191,non functional
21669,non functional
337,functional
17861,functional
54722,non functional
2845,functional
15358,functional
40592,non functional
51163,functional
65101,functional
67822,functional
14135,functional
10458,non functional
8230,non functional
43433,functional
62188,functional
19,functional
26577,functional
9382,functional
29744,non functional
17978,functional
48007,non functional
39548,non functional
25143,functional
25736,functional
17516,functional
59102,functional
93,functional
15988,non functional
19304,non functional
44092,functional
51611,functional needs repair
67634,functional
24757,functional needs repair
37524,functional
16341,functional
39176,functional
74217,functional
7007,functional
17041,non functional
38725,functional
49453,functional
56863,non functional
23835,functional
39915,functional
3740,functional
26943,functional needs repair
43742,functional
5784,non functional
5121,non functional
58537,functional needs repair
3627,non functional
34741,functional
67097,functional
4437,functional
65817,functional
39559,non functional
25344,non functional
2301,non functional
65584,functional
6788,functional
66383,non functional
58599,functional
36809,non functional
34926,non functional
29052,functional
38642,non functional
60111,functional
12478,non functional
54733,functional
54678,functional
1439,functional
6735,functional
3328,non functional
57970,functional
44204,functional
63675,functional
40519,non functional
66382,functional
45386,non functional
43604,non functional
59053,functional
1030,non functional
30897,non functional
27523,functional
14910,non functional
60074,functional needs repair
60374,non functional
6205,non functional
48390,non functional
3980,non functional
11905,functional
45320,non functional
33104,functional
4147,non functional
53577,functional needs repair
68995,non functional
32255,non functional
8699,functional
1203,functional
44358,non functional
64687,non functional
71489,non functional
61994,functional
42306,non functional
67453,functional
11581,non functional
14123,functional needs repair
59263,functional
28359,non functional
72238,functional
12207,functional
19283,functional
38565,non functional
26851,functional
41968,functional
38379,functional
65944,non functional
42347,functional
64048,functional
42733,non functional
50124,non functional
69502,non functional
24691,functional
19232,non functional
65266,functional
48401,non functional
21737,functional
63864,functional
30174,functional
70930,functional
24331,functional
11011,functional
12245,functional
68493,non functional
